osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
244499,Environmental Consultants and Scientists nec,234399,,Environmental Scientists nec
244531,Geologist,234411,,Geologist
244532,Geophysicist,234412,,Geophysicist
244533,Hydrologist,234413,,Hydrogeologist
244631,Biotechnologist,234514,,Biotechnologist
244632,Botanist,234515,,Botanist
244633,Entomologist,234521,,Entomologist
244634,Marine Biologist,234516,,Marine Biologist
244635,Microbiologist,234517,,Microbiologist
244636,Zoologist,234522,,Zoologist
244699,Life Scientists nec,234511,,Life Scientist (General)
244699,Life Scientists nec,234513,,Biochemist
244699,Life Scientists nec,234599,p,Life Scientists nec
244731,Medical Laboratory Scientist,234611,,Medical Laboratory Scientist
244732,Medical Physicist,234914,p,Physicist
244931,Conservator,234911,,Conservator
244932,Meteorologist,234913,,Meteorologist
244933,Physicist,234914,p,Physicist
244999,Natural and Physical Science Professionals nec,234999,,Natural and Physical Science Professionals nec
251131,Early Childhood (Pre-primary School) Teacher,241111,p,Early Childhood (Pre-primary School) Teacher
251131,Early Childhood (Pre-primary School) Teacher,241112,,Kaiako Kohanga Reo (Māori Language Nest Teacher)
251231,Primary School Teacher,241211,p,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher)
251231,Primary School Teacher,241212,p,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher)
251231,Primary School Teacher,241213,p,Primary School Teacher
251331,Secondary School Teacher,241311,,Middle School Teacher / Intermediate School Teacher
251331,Secondary School Teacher,241411,p,Secondary School Teacher
251431,Special Education Teacher,241511,p,Special Needs Teacher
251432,Specialist Teacher (Vision Impairment),241513,,Teacher of the Sight Impaired
251433,Teacher of the Deaf,241512,,Teacher of the Hearing Impaired
251931,Teacher Librarian,241211,p,Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher)
251931,Teacher Librarian,241212,p,Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher)
251931,Teacher Librarian,241213,p,Primary School Teacher
251931,Teacher Librarian,241411,p,Secondary School Teacher
252131,University Lecturer,242111,,University Lecturer
252132,University Tutor,242112,,University Tutor
252231,Vocational Education Teacher,242211,p,Vocational Education Teacher / Polytechnic Teacher
259131,Academic Tutor (Private Tuition),249299,p,Private Tutors and Teachers nec
259231,Art Teacher (Private Tuition),249211,,Art Teacher (Private Tuition)
